Group,Gesture,Accuracy,Precision,Recall,F1 score
DM24,decide,66.3065,6.1103,16.2055,8.8745
DM25,decide,65.6215,6.275,16.9675,9.1618
DM26,decide,65.7563,6.258,16.7235,9.1078
DM27,decide,65.3088,6.5651,17.7778,9.589
DM28,decide,64.7312,6.1489,17.0149,9.0333
DM29,decide,63.5438,5.8185,16.5266,8.6069
DM30,decide,63.8838,5.3249,15.6499,7.9461
DM31,decide,63.8581,5.4217,15.7107,8.0614
DM32,decide,64.4444,5.3691,15.0943,7.9208
DM33,decide,63.294,5.291,15.0862,7.8344
DM34,decide,63.4376,5.3363,15.0826,7.8834
DM35,decide,64.1529,5.6188,15.6126,8.2636
DM36,decide,64.168,6.2584,17.6806,9.2445
DM37,decide,64.0948,6.7394,19.2308,9.981
DM11,father,53.6082,8.3333,35,13.4615
DM12,father,60.1523,7.9137,27.5,12.2905
DM13,father,58.9878,7.7295,26.6667,11.985
DM15,father,60.582,8.0769,26.25,12.3529
DM16,father,56.7513,6.1995,22.7723,9.7458
DM18,father,58.5982,7.5388,27.2,11.8056
DM19,father,56.1938,6.5836,25.5172,10.4668
DM20,father,57.1083,7.8947,30.9091,12.5771
DM21,father,57.6064,7.3919,28.4946,11.7386
DM22,father,57.4988,7.0618,27.1845,11.2112
DM23,father,58.0927,8.1236,31.4159,12.9091
DM24,father,57.463,8.1109,31.9838,12.9402
DM25,father,57.5802,8.0875,31.5985,12.8788
DM26,father,57.0028,7.9323,31.338,12.66
DM27,father,56.8003,7.8399,30.9211,12.5083
DM28,father,56.2826,7.5676,30.2469,12.1062
DM29,father,56.4737,7.4649,29.2754,11.8963
DM30,father,57.5958,7.5069,29.3801,11.9583
DM31,father,56.7656,7.1059,28.133,11.3461
DM32,father,57.0848,7.2222,28.5366,11.5271
DM33,father,56.92,6.8847,27.907,11.0446
DM34,father,57.5225,6.9179,27.3333,11.0413
DM35,father,57.7969,7.4252,29.5117,11.8651
DM36,father,58.0063,7.4781,29.5316,11.9342
DM37,father,58.1043,7.5886,29.7456,12.0923
DM11,find,62.3711,3.5088,10,5.1948
DM12,find,70.5584,5.814,12.5,7.9365
DM13,find,67.0157,4.2553,10,5.9701
DM15,find,69.5767,7.3864,16.25,10.1563
DM16,find,70.2538,7.2398,15.3846,9.8462
DM18,find,71.8011,6.8273,12.9771,8.9474
DM19,find,71.6955,6.2284,11.5385,8.0899
DM20,find,72.2323,8.7464,17.0455,11.5607
DM21,find,72.7128,10.1036,19.0244,13.198
DM22,find,71.3943,9.2105,18.6667,12.3348
DM23,find,71.3911,9.018,18.3673,12.0968
DM24,find,70.3481,8.0986,17.3585,11.0444
DM25,find,69.4209,7.5,16.8421,10.3784
DM26,find,69.3627,7.3964,16.7224,10.2564
DM27,find,68.9882,7.0151,15.9875,9.7514
DM28,find,67.619,6.357,15.2941,8.981
DM29,find,67.9081,6.25,14.6814,8.7676
DM30,find,68.4544,6.3646,15.3247,8.9939
DM31,find,68.5362,6.2112,14.8148,8.7527
DM32,find,68.9606,6.1307,14.3192,8.5855
DM33,find,68.3976,5.7377,14.1256,8.1606
DM34,find,68.817,6.3548,15.4506,9.0056
DM35,find,68.9965,6.4189,15.6701,9.1072
DM36,find,69.27,6.3374,15.2475,8.9535
DM37,find,69.2133,6.2151,14.8571,8.764
DM11,hearing,64.433,7.0175,20,10.3896
DM12,hearing,65.2284,10.5691,32.5,15.9509
DM13,hearing,65.6195,8.982,25,13.2159
DM15,hearing,64.418,11.4286,35,17.2308
DM16,hearing,65.3807,9.9668,30,14.9626
DM18,hearing,64.8737,8.8235,26.8293,13.2797
DM19,hearing,63.8754,8.913,28.4722,13.5762
DM20,hearing,62.5529,7.7922,25.6098,11.9488
DM21,hearing,62.3404,7.7544,25.9459,11.9403
