Group,Gesture,Accuracy,Precision,Recall,F1 score
DM13,find,57.9407,4.0609,13.3333,6.2257
DM15,find,57.5397,4.5283,15,6.9565
DM16,find,57.7665,4.6512,15.3846,7.1429
DM18,find,61.3692,5.6848,16.7939,8.4942
DM19,find,61.3149,5.3215,15.3846,7.9077
DM20,find,63.2789,7.3267,21.0227,10.8664
DM21,find,62.1277,7.395,21.4634,11
DM22,find,62.2425,7.2838,21.3333,10.8597
DM23,find,61.7235,7.3171,22.0408,10.9868
DM24,find,60.2241,6.5554,20.7547,9.9638
DM25,find,59.6459,6.4586,21.0526,9.8847
DM26,find,59.2787,6.6265,22.0736,10.1931
DM27,find,59.4284,6.5465,21.6301,10.051
DM28,find,57.8187,6.0426,20.8824,9.3729
DM29,find,57.9284,5.8584,19.9446,9.0566
DM30,find,57.9657,5.6618,20,8.8252
DM31,find,58.5262,5.5714,19.2593,8.6427
DM32,find,58.638,5.3999,18.5446,8.3642
DM33,find,58.2126,5.5383,19.9552,8.6702
DM34,find,58.4226,5.9737,21.4592,9.3458
DM35,find,57.7969,5.9643,22.0619,9.3901
DM36,find,58.2614,6.0672,22.1782,9.5279
DM37,find,58.5972,6.0879,21.9048,9.5278
DM11,hearing,62.8866,3.5714,10,5.2632
DM12,hearing,67.0051,9.8214,27.5,14.4737
DM13,hearing,69.6335,10.9589,26.6667,15.534
DM15,hearing,67.1958,10,26.25,14.4828
DM16,hearing,68.934,9.7656,25,14.0449
DM18,hearing,66.1777,7.8035,21.9512,11.5139
DM19,hearing,65.3979,8.216,24.3056,12.2807
DM20,hearing,65.3962,7.5,21.9512,11.1801
DM21,hearing,64.734,7.4733,22.7027,11.245
DM22,hearing,65.4528,7.1429,20.9756,10.6568
DM23,hearing,64.4794,6.3893,19.1111,9.5768
DM24,hearing,65.5862,6.392,18.2927,9.4737
DM25,hearing,64.6625,5.8974,17.037,8.7619
DM26,hearing,64.7059,6.7066,19.6491,10
DM27,hearing,65.3088,7.0034,19.8697,10.3565
DM28,hearing,65.3763,7.8141,22.561,11.6078
DM29,hearing,64.7367,7.3964,21.5517,11.0132
DM30,hearing,64.2008,7.4202,23.3696,11.2639
DM31,hearing,65.0402,8.1104,25,12.2475
DM32,hearing,64.6356,8.2555,25.9804,12.5296
DM33,hearing,64.6312,7.7316,24.7664,11.7843
DM34,hearing,64.5949,7.784,24.7768,11.8463
DM35,hearing,64.2346,7.8895,25.5864,12.0603
DM36,hearing,64.0895,7.6972,24.9489,11.7647
DM37,hearing,63.7536,7.4074,23.9686,11.3173
