Group,Gesture,Accuracy,Precision,Recall,F1 score
DM27,decide,78.9474,77.7778,77.7778,77.7778
DM28,decide,88.8889,80,100,88.8889
DM29,decide,94.7368,100,88.8889,94.1176
DM30,decide,100,100,100,100
DM31,decide,100,100,100,100
DM32,decide,100,100,100,100
DM33,decide,93.75,93.75,93.75,93.75
DM34,decide,88.2353,100,75,85.7143
DM35,decide,90,81.8182,100,90
DM36,decide,94.4444,100,87.5,93.3333
DM37,decide,94.1176,100,87.5,93.3333
DM1,father,80,77.7778,77.7778,77.7778
DM2,father,88.8889,80,100,88.8889
DM3,father,61.1111,54.5455,75,63.1579
DM4,father,90,88.8889,88.8889,88.8889
DM5,father,83.3333,85.7143,75,80
DM6,father,80,80,100,88.8889
DM7,father,82.3529,77.7778,87.5,82.3529
DM8,father,72.2222,63.6364,87.5,73.6842
DM9,father,88.8889,87.5,87.5,87.5
DM10,father,72.2222,63.6364,87.5,73.6842
DM11,father,72.2222,61.5385,100,76.1905
DM12,father,100,100,100,100
DM13,father,88.2353,87.5,87.5,87.5
DM15,father,94.1176,88.8889,100,94.1176
DM16,father,84.2105,72.7273,100,84.2105
DM18,father,84.2105,81.8182,90,85.7143
DM19,father,77.7778,66.6667,100,80
DM20,father,100,100,100,100
DM21,father,89.4737,87.5,87.5,87.5
DM22,father,94.4444,100,87.5,93.3333
DM23,father,100,100,100,100
DM24,father,89.4737,87.5,87.5,87.5
DM25,father,85,100,66.6667,80
DM26,father,100,100,100,100
DM27,father,82.3529,77.7778,87.5,82.3529
DM28,father,100,100,100,100
DM29,father,77.7778,66.6667,100,80
DM30,father,78.9474,75,90,81.8182
DM31,father,88.2353,87.5,87.5,87.5
DM32,father,83.3333,77.7778,87.5,82.3529
DM33,father,82.3529,77.7778,87.5,82.3529
DM34,father,88.2353,100,75,85.7143
DM35,father,84.2105,85.7143,75,80
DM36,father,88.8889,87.5,87.5,87.5
DM37,father,82.3529,72.7273,100,84.2105
DM1,find,88.8889,87.5,87.5,87.5
DM2,find,77.7778,70,87.5,77.7778
DM3,find,73.6842,77.7778,70,73.6842
DM4,find,94.7368,88.8889,100,94.1176
DM5,find,83.3333,100,62.5,76.9231
DM6,find,86.9565,90.9091,83.3333,86.9565
DM7,find,88.2353,87.5,87.5,87.5
DM8,find,94.4444,100,87.5,93.3333
DM9,find,70.5882,63.6364,87.5,73.6842
DM10,find,94.4444,88.8889,100,94.1176
DM11,find,88.8889,87.5,87.5,87.5
DM12,find,94.4444,100,87.5,93.3333
DM13,find,88.2353,80,100,88.8889
DM15,find,100,100,100,100
DM16,find,78.9474,75,90,81.8182
DM18,find,85.7143,83.3333,90.9091,86.9565
DM19,find,60,66.6667,40,50
DM20,find,72.2222,80,50,61.5385
DM21,find,91.3043,91.6667,91.6667,91.6667
DM22,find,72.2222,71.4286,62.5,66.6667
DM23,find,88.8889,80,100,88.8889
DM24,find,94.4444,100,87.5,93.3333
DM25,find,77.7778,70,87.5,77.7778
DM26,find,100,100,100,100
DM27,find,88.2353,80,100,88.8889
DM28,find,94.7368,100,87.5,93.3333
DM29,find,94.4444,88.8889,100,94.1176
DM30,find,83.3333,81.8182,90,85.7143
DM31,find,94.1176,100,87.5,93.3333
DM32,find,89.4737,87.5,87.5,87.5
DM33,find,94.1176,88.8889,100,94.1176
DM34,find,88.2353,80,100,88.8889
DM35,find,88.8889,87.5,87.5,87.5
DM36,find,77.7778,100,50,66.6667
DM37,find,100,100,100,100
DM1,hearing,100,100,100,100
DM2,hearing,100,100,100,100
DM3,hearing,88.8889,80,100,88.8889
DM4,hearing,77.7778,70,87.5,77.7778
DM5,hearing,94.4444,88.8889,100,94.1176
DM6,hearing,91.6667,100,83.3333,90.9091
DM7,hearing,82.3529,72.7273,100,84.2105
DM8,hearing,100,100,100,100
DM9,hearing,94.1176,88.8889,100,94.1176
DM10,hearing,83.3333,72.7273,100,84.2105
DM11,hearing,100,100,100,100
DM12,hearing,88.8889,87.5,87.5,87.5
DM13,hearing,94.1176,100,87.5,93.3333
DM15,hearing,94.1176,100,87.5,93.3333
DM16,hearing,88.8889,87.5,87.5,87.5
DM18,hearing,85.7143,75,100,85.7143
DM19,hearing,94.7368,88.8889,100,94.1176
DM20,hearing,100,100,100,100
DM21,hearing,89.4737,80,100,88.8889
DM22,hearing,83.3333,77.7778,87.5,82.3529
DM23,hearing,94.4444,88.8889,100,94.1176
DM24,hearing,89.4737,87.5,87.5,87.5
DM25,hearing,89.4737,100,80,88.8889
DM26,hearing,100,100,100,100
DM27,hearing,73.6842,66.6667,88.8889,76.1905
DM28,hearing,94.7368,88.8889,100,94.1176
DM29,hearing,100,100,100,100
DM30,hearing,94.1176,100,87.5,93.3333
DM31,hearing,94.1176,88.8889,100,94.1176
DM32,hearing,94.4444,88.8889,100,94.1176
DM33,hearing,94.1176,88.8889,100,94.1176
DM34,hearing,88.2353,87.5,87.5,87.5
DM35,hearing,94.7368,88.8889,100,94.1176
DM36,hearing,94.4444,88.8889,100,94.1176
DM37,hearing,94.1176,100,87.5,93.3333
