Group,Gesture,Accuracy,Precision,Recall,F1 score
DM35,decide,90,81.8182,100,90
DM36,decide,88.8889,87.5,87.5,87.5
DM37,decide,88.2353,87.5,87.5,87.5
DM1,father,85,87.5,77.7778,82.3529
DM2,father,88.8889,80,100,88.8889
DM3,father,66.6667,57.1429,100,72.7273
DM4,father,95,90,100,94.7368
DM5,father,72.2222,63.6364,87.5,73.6842
DM6,father,60,100,50,66.6667
DM7,father,88.2353,87.5,87.5,87.5
DM8,father,77.7778,70,87.5,77.7778
DM9,father,83.3333,72.7273,100,84.2105
DM10,father,61.1111,54.5455,75,63.1579
DM11,father,72.2222,61.5385,100,76.1905
DM12,father,100,100,100,100
DM13,father,70.5882,63.6364,87.5,73.6842
DM15,father,100,100,100,100
DM16,father,84.2105,72.7273,100,84.2105
DM18,father,78.9474,80,80,80
DM19,father,77.7778,66.6667,100,80
DM20,father,94.4444,88.8889,100,94.1176
DM21,father,94.7368,100,87.5,93.3333
DM22,father,88.8889,87.5,87.5,87.5
DM23,father,100,100,100,100
DM24,father,89.4737,80,100,88.8889
DM25,father,80,72.7273,88.8889,80
DM26,father,77.7778,100,66.6667,80
DM27,father,82.3529,77.7778,87.5,82.3529
DM28,father,94.4444,88.8889,100,94.1176
DM29,father,66.6667,57.1429,100,72.7273
DM30,father,73.6842,77.7778,70,73.6842
DM31,father,94.1176,100,87.5,93.3333
DM32,father,83.3333,72.7273,100,84.2105
DM33,father,82.3529,85.7143,75,80
DM34,father,88.2353,100,75,85.7143
DM35,father,73.6842,66.6667,75,70.5882
DM36,father,83.3333,85.7143,75,80
DM37,father,94.1176,88.8889,100,94.1176
DM1,find,94.4444,88.8889,100,94.1176
DM2,find,72.2222,71.4286,62.5,66.6667
DM3,find,73.6842,72.7273,80,76.1905
DM4,find,89.4737,87.5,87.5,87.5
DM5,find,83.3333,100,62.5,76.9231
DM6,find,69.5652,77.7778,58.3333,66.6667
DM7,find,94.1176,100,87.5,93.3333
DM8,find,100,100,100,100
DM9,find,70.5882,63.6364,87.5,73.6842
DM10,find,88.8889,87.5,87.5,87.5
DM11,find,88.8889,87.5,87.5,87.5
DM12,find,94.4444,100,87.5,93.3333
DM13,find,94.1176,88.8889,100,94.1176
DM15,find,88.2353,87.5,87.5,87.5
DM16,find,78.9474,87.5,70,77.7778
DM18,find,76.1905,87.5,63.6364,73.6842
DM19,find,70,70,70,70
DM20,find,66.6667,75,37.5,50
DM21,find,86.9565,90.9091,83.3333,86.9565
DM22,find,83.3333,77.7778,87.5,82.3529
DM23,find,88.8889,87.5,87.5,87.5
DM24,find,94.4444,100,87.5,93.3333
DM25,find,83.3333,77.7778,87.5,82.3529
DM26,find,77.7778,83.3333,83.3333,83.3333
DM27,find,88.2353,80,100,88.8889
DM28,find,94.7368,100,87.5,93.3333
DM29,find,88.8889,80,100,88.8889
DM30,find,88.8889,90,90,90
DM31,find,88.2353,87.5,87.5,87.5
DM32,find,89.4737,87.5,87.5,87.5
DM33,find,82.3529,72.7273,100,84.2105
DM34,find,88.2353,87.5,87.5,87.5
DM35,find,83.3333,77.7778,87.5,82.3529
DM36,find,77.7778,83.3333,62.5,71.4286
DM37,find,94.1176,100,87.5,93.3333
DM1,hearing,94.4444,88.8889,100,94.1176
DM2,hearing,100,100,100,100
DM3,hearing,88.8889,87.5,87.5,87.5
DM4,hearing,77.7778,66.6667,100,80
DM5,hearing,100,100,100,100
DM6,hearing,87.5,90.9091,83.3333,86.9565
DM7,hearing,82.3529,72.7273,100,84.2105
DM8,hearing,94.4444,88.8889,100,94.1176
DM9,hearing,88.2353,87.5,87.5,87.5
DM10,hearing,88.8889,87.5,87.5,87.5
DM11,hearing,83.3333,85.7143,75,80
DM12,hearing,88.8889,87.5,87.5,87.5
DM13,hearing,94.1176,100,87.5,93.3333
DM15,hearing,88.2353,87.5,87.5,87.5
DM16,hearing,83.3333,77.7778,87.5,82.3529
DM18,hearing,95.2381,90,100,94.7368
DM19,hearing,84.2105,77.7778,87.5,82.3529
DM20,hearing,100,100,100,100
DM21,hearing,89.4737,87.5,87.5,87.5
DM22,hearing,94.4444,100,87.5,93.3333
DM23,hearing,88.8889,80,100,88.8889
DM24,hearing,94.7368,88.8889,100,94.1176
DM25,hearing,78.9474,100,60,75
DM26,hearing,100,100,100,100
DM27,hearing,63.1579,58.3333,77.7778,66.6667
DM28,hearing,84.2105,72.7273,100,84.2105
DM29,hearing,94.1176,88.8889,100,94.1176
DM30,hearing,94.1176,100,87.5,93.3333
DM31,hearing,100,100,100,100
DM32,hearing,100,100,100,100
DM33,hearing,94.1176,88.8889,100,94.1176
DM34,hearing,82.3529,77.7778,87.5,82.3529
DM35,hearing,84.2105,100,62.5,76.9231
DM36,hearing,83.3333,72.7273,100,84.2105
DM37,hearing,94.1176,100,87.5,93.3333
