Group,Gesture,Accuracy,Precision,Recall,F1 score
DM16,decide,71.4286,71.4286,55.5556,62.5
DM18,decide,65,60,66.6667,63.1579
DM19,decide,68.4211,58.3333,87.5,70
DM20,decide,94.7368,100,90,94.7368
DM21,decide,95,90,100,94.7368
DM22,decide,83.3333,77.7778,87.5,82.3529
DM23,decide,88.8889,87.5,87.5,87.5
DM24,decide,90,100,77.7778,87.5
DM25,decide,73.6842,72.7273,80,76.1905
DM26,decide,80,80,66.6667,72.7273
DM27,decide,84.2105,100,66.6667,80
DM28,decide,72.2222,61.5385,100,76.1905
DM29,decide,84.2105,80,88.8889,84.2105
DM30,decide,82.3529,85.7143,75,80
DM31,decide,72.2222,77.7778,70,73.6842
DM32,decide,90.4762,88.8889,88.8889,88.8889
DM33,decide,90.625,93.3333,87.5,90.3226
DM34,decide,76.4706,75,75,75
DM35,decide,90,88.8889,88.8889,88.8889
DM36,decide,61.1111,55.5556,62.5,58.8235
DM37,decide,76.4706,70,87.5,77.7778
DM1,father,65,60,66.6667,63.1579
DM2,father,88.8889,80,100,88.8889
DM3,father,66.6667,60,75,66.6667
DM4,father,80,69.2308,100,81.8182
DM5,father,72.2222,63.6364,87.5,73.6842
DM6,father,80,80,100,88.8889
DM7,father,88.2353,80,100,88.8889
DM8,father,94.4444,100,87.5,93.3333
DM9,father,88.8889,80,100,88.8889
DM10,father,61.1111,60,37.5,46.1538
DM11,father,94.4444,88.8889,100,94.1176
DM12,father,61.1111,53.3333,100,69.5652
DM13,father,82.3529,77.7778,87.5,82.3529
DM15,father,94.1176,88.8889,100,94.1176
DM16,father,73.6842,61.5385,100,76.1905
DM18,father,78.9474,87.5,70,77.7778
DM19,father,50,45.4545,62.5,52.6316
DM20,father,72.2222,61.5385,100,76.1905
DM21,father,73.6842,66.6667,75,70.5882
DM22,father,83.3333,77.7778,87.5,82.3529
DM23,father,94.4444,88.8889,100,94.1176
DM24,father,84.2105,77.7778,87.5,82.3529
DM25,father,80,77.7778,77.7778,77.7778
DM26,father,44.4444,60,50,54.5455
DM27,father,70.5882,71.4286,62.5,66.6667
DM28,father,61.1111,53.8462,87.5,66.6667
DM29,father,72.2222,66.6667,75,70.5882
DM30,father,73.6842,72.7273,80,76.1905
DM31,father,76.4706,70,87.5,77.7778
DM32,father,88.8889,87.5,87.5,87.5
DM33,father,82.3529,72.7273,100,84.2105
DM34,father,94.1176,100,87.5,93.3333
DM35,father,63.1579,55.5556,62.5,58.8235
DM36,father,94.4444,88.8889,100,94.1176
DM37,father,94.1176,100,87.5,93.3333
DM1,find,77.7778,83.3333,62.5,71.4286
DM2,find,33.3333,33.3333,50,40
DM3,find,63.1579,71.4286,50,58.8235
DM4,find,84.2105,85.7143,75,80
DM5,find,88.8889,87.5,87.5,87.5
DM6,find,60.8696,66.6667,50,57.1429
DM7,find,76.4706,70,87.5,77.7778
DM8,find,83.3333,85.7143,75,80
DM9,find,41.1765,37.5,37.5,37.5
DM10,find,94.4444,88.8889,100,94.1176
DM11,find,83.3333,85.7143,75,80
DM12,find,83.3333,85.7143,75,80
DM13,find,64.7059,58.3333,87.5,70
DM15,find,70.5882,63.6364,87.5,73.6842
DM16,find,68.4211,70,70,70
DM18,find,71.4286,77.7778,63.6364,70
DM19,find,80,87.5,70,77.7778
DM20,find,83.3333,77.7778,87.5,82.3529
DM21,find,95.6522,92.3077,100,96
DM22,find,66.6667,62.5,62.5,62.5
DM23,find,88.8889,100,75,85.7143
DM24,find,94.4444,100,87.5,93.3333
DM25,find,94.4444,88.8889,100,94.1176
DM26,find,55.5556,75,50,60
DM27,find,82.3529,77.7778,87.5,82.3529
DM28,find,94.7368,100,87.5,93.3333
DM29,find,94.4444,100,87.5,93.3333
DM30,find,77.7778,80,80,80
DM31,find,76.4706,66.6667,100,80
DM32,find,89.4737,87.5,87.5,87.5
DM33,find,76.4706,75,75,75
DM34,find,64.7059,58.3333,87.5,70
DM35,find,72.2222,63.6364,87.5,73.6842
DM36,find,83.3333,85.7143,75,80
DM37,find,76.4706,83.3333,62.5,71.4286
DM1,hearing,83.3333,85.7143,75,80
DM2,hearing,94.4444,88.8889,100,94.1176
DM3,hearing,88.8889,80,100,88.8889
DM4,hearing,72.2222,63.6364,87.5,73.6842
DM5,hearing,66.6667,58.3333,87.5,70
DM6,hearing,70.8333,69.2308,75,72
DM7,hearing,88.2353,80,100,88.8889
DM8,hearing,100,100,100,100
DM9,hearing,100,100,100,100
DM10,hearing,94.4444,88.8889,100,94.1176
DM11,hearing,72.2222,71.4286,62.5,66.6667
DM12,hearing,94.4444,88.8889,100,94.1176
DM13,hearing,88.2353,87.5,87.5,87.5
DM15,hearing,76.4706,75,75,75
DM16,hearing,83.3333,72.7273,100,84.2105
DM18,hearing,100,100,100,100
DM19,hearing,78.9474,70,87.5,77.7778
DM20,hearing,94.4444,88.8889,100,94.1176
DM21,hearing,84.2105,72.7273,100,84.2105
DM22,hearing,83.3333,77.7778,87.5,82.3529
DM23,hearing,83.3333,77.7778,87.5,82.3529
DM24,hearing,100,100,100,100
DM25,hearing,89.4737,100,80,88.8889
DM26,hearing,100,100,100,100
DM27,hearing,78.9474,72.7273,88.8889,80
DM28,hearing,94.7368,88.8889,100,94.1176
DM29,hearing,94.1176,88.8889,100,94.1176
DM30,hearing,94.1176,88.8889,100,94.1176
DM31,hearing,100,100,100,100
DM32,hearing,88.8889,100,75,85.7143
DM33,hearing,64.7059,60,75,66.6667
DM34,hearing,94.1176,100,87.5,93.3333
DM35,hearing,78.9474,70,87.5,77.7778
DM36,hearing,100,100,100,100
DM37,hearing,70.5882,71.4286,62.5,66.6667
